Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Candles,ExitReason,SessionMultiplier,RiskPercent,SL_Distance,TP1_Price,TP2_Price,TP3_Price
20,LONG,2025-05-23 01:45:00,2677.45,2025-05-23 02:30:00,2722.0,49.80488908348608,2084.3483044883997,2.0843483044883997,134.45950418091445,2084.3483044883997,3,RSI_OVERBOUGHT,0.6,0.015,18.73021428571429,2713.469642857143,2742.285357142857,2778.305
21,SHORT,2025-05-23 11:45:00,2629.42,2025-05-23 12:15:00,2542.78,127.74432482595171,8432.771296393857,8.432771296393858,331.5113412650245,8432.771296393857,2,FULLY_CLOSED,0.6,0.02,9.932499999999981,2608.1360714285715,2586.852142857143,2558.4735714285716
22,SHORT,2025-05-30 16:45:00,2551.21,2025-05-30 18:30:00,2572.67,177.23105288295056,-4257.433718491072,-4.257433718491072,454.0553236229464,-4257.433718491072,7,STOP_LOSS,1.0,0.02,12.883499999999936,2523.6025,2495.9950000000003,2459.1850000000004
23,LONG,2025-06-10 22:15:00,2803.2,2025-06-11 09:00:00,2768.25,33.75214559699401,-1273.661684408121,-1.2736616844081208,94.02419579318615,-1273.661684408121,43,STOP_LOSS,0.6,0.015,29.307571428571503,2859.5607142857143,2904.6492857142857,2961.01
24,LONG,2025-06-11 13:15:00,2807.21,2025-06-11 15:15:00,2830.64,82.56802628455362,2229.9869328899254,2.2299869328899256,233.0172911782959,2229.9869328899254,8,TRAILING_STOP,1.0,0.015,19.73585714285714,2845.1635714285712,2875.5264285714284,2913.48
25,LONG,2025-06-11 15:45:00,2865.48,2025-06-11 18:00:00,2828.63,52.406030798001325,-2080.3650869199478,-2.0803650869199477,149.20285201360366,-2080.3650869199478,9,STOP_LOSS,1.0,0.015,31.732999999999937,2926.505,2975.325,3036.3499999999995
26,SHORT,2025-06-12 20:00:00,2693.13,2025-06-12 21:00:00,2637.87,159.02982539452978,7399.891549450844,7.399891549450843,424.3758599600646,7399.891549450844,4,RSI_OVERSOLD,0.8,0.02,10.944999999999936,2669.676428571429,2646.2228571428577,2614.951428571429
27,LONG,2025-06-16 14:45:00,2643.24,2025-06-16 22:45:00,2553.52,95.25246186449104,-8793.552970341574,-8.793552970341574,247.50209185945621,-8793.552970341574,32,STOP_LOSS,1.0,0.015,18.296571428571426,2678.425714285714,2706.5742857142855,2741.7599999999998
28,LONG,2025-07-03 14:00:00,2623.76,2025-07-03 14:45:00,2596.9,76.16141920929573,-2244.502157366294,-2.244502157366294,198.80643740460093,-2244.502157366294,3,STOP_LOSS,1.0,0.015,21.15099999999998,2664.4350000000004,2696.9750000000004,2737.65
29,LONG,2025-07-10 17:00:00,2806.98,2025-07-10 21:45:00,2957.61,55.50581967100251,6164.7569423328805,6.16475694233288,158.96558696475944,6164.7569423328805,19,FULLY_CLOSED,0.8,0.015,22.73235714285714,2850.6960714285715,2885.6689285714288,2929.385
30,LONG,2025-07-14 11:15:00,3073.34,2025-07-14 12:30:00,3045.29,68.33625962184362,-2125.894226497727,-2.125894226497727,209.06214410500053,-2125.894226497727,5,STOP_LOSS,1.0,0.015,24.433499999999924,3120.3275,3157.9175,3204.9049999999997
31,LONG,2025-07-16 14:30:00,3195.0,2025-07-16 15:45:00,3231.0,75.14765587982467,3055.733639900658,3.0557336399006583,241.74550010604318,3055.733639900658,5,TRAILING_STOP,1.0,0.015,21.794500000000088,3236.9125000000004,3270.4425,3312.3550000000005
32,LONG,2025-07-17 21:15:00,3484.57,2025-07-18 03:15:00,3593.81,30.305072409517987,3070.358532390602,3.070358532390602,107.18891989217549,3070.358532390602,24,RSI_OVERBOUGHT,0.6,0.015,33.333857142857106,3548.6735714285714,3599.9564285714287,3664.06
33,LONG,2025-07-18 14:00:00,3640.34,2025-07-18 14:30:00,3598.1,59.893591255292435,-2746.673377966546,-2.746673377966546,216.76808334297948,-2746.673377966546,2,STOP_LOSS,1.0,0.015,28.879499999999936,3695.8775,3740.3075,3795.845
34,SHORT,2025-07-18 15:30:00,3544.51,2025-07-18 16:30:00,3573.51,93.528692506209,-3045.201634596584,-3.045201634596584,332.86955191652294,-3045.201634596584,4,STOP_LOSS,1.0,0.02,24.070999999999977,3492.929285714286,3441.3485714285716,3372.574285714286
