Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Size,PnL,Commission,Net_PnL,Exit_Reason,Duration
SHORT,2025-07-15 02:00:00,2025-07-15 02:15:00,2975.63,2985.532,10.169580422294315,-100.69918534155875,30.311258184662414,-131.01044352622117,Stop_Loss,1
SHORT,2025-07-15 02:30:00,2025-07-15 02:45:00,2961.75,2973.218,8.643796653230329,-99.12706001924408,25.65032826771455,-124.77738828695863,Stop_Loss,1
LONG,2025-07-17 21:30:00,2025-07-17 21:45:00,3480.62,3446.3742857142856,2.850859834467732,-97.62973135980059,9.873944891365177,-107.50367625116576,Stop_Loss,1
LONG,2025-07-17 21:45:00,2025-07-18 01:00:00,3465.2,3535.567857142857,1.053143505227249,74.107451726759,3.686406600176843,70.42104512658216,TP1,13
LONG,2025-07-17 21:45:00,2025-07-18 01:15:00,3465.2,3577.7885714285712,0.7898576289204368,88.92894207211064,2.7814791267711527,86.1474629453395,TP2,14
LONG,2025-07-17 21:45:00,2025-07-18 02:15:00,3465.2,3600.512857142857,0.7898576289204368,106.87789250530678,2.7904536019877506,104.08743890331903,Trailing_Stop,18
LONG,2025-07-18 14:15:00,2025-07-18 14:30:00,3665.0,3633.7192142857143,3.9747866117003987,-124.33444826061184,14.505425707751655,-138.8398739683635,Stop_Loss,1
LONG,2025-07-21 04:30:00,2025-07-21 11:00:00,3768.76,3814.336785714286,1.2379971504062643,56.42393083896296,4.693926105984595,51.730004732978365,TP1,26
LONG,2025-07-21 04:30:00,2025-07-21 11:15:00,3768.76,3805.7692857142856,1.856995725609396,68.72608537928487,7.032934253537311,61.693151125747555,Trailing_Stop,27
SHORT,2025-07-22 01:15:00,2025-07-22 01:30:00,3718.6,3730.8235,8.112452079287714,-99.16255799117384,30.21654558103488,-129.37910357220872,Stop_Loss,1
SHORT,2025-07-22 05:00:00,2025-07-22 05:15:00,3654.73,3673.4030000000002,3.484889367832562,-65.07333916553823,12.76886638888147,-77.8422055544197,Stop_Loss,1
SHORT,2025-07-22 08:15:00,2025-07-22 09:45:00,3639.21,3656.6115,9.259345677255277,-161.12650380275716,33.77726663402555,-194.9037704367827,Stop_Loss,6
SHORT,2025-07-28 13:15:00,2025-07-28 13:30:00,3857.8,3836.579285714286,7.938424133799091,168.4590304221685,30.540623108159053,137.91840731400944,TP1,1
SHORT,2025-07-28 13:15:00,2025-07-28 13:45:00,3857.8,3842.1482857142855,7.938424133799091,124.24994642104527,30.562727650159612,93.68721877088565,Trailing_Stop,2
SHORT,2025-07-29 00:45:00,2025-07-29 01:00:00,3753.16,3769.6065,5.904984315777312,-97.11632454943164,22.21090909687749,-119.32723364630912,Stop_Loss,1
SHORT,2025-07-29 15:00:00,2025-07-29 16:15:00,3780.61,3756.89,8.787898619209447,208.4489552476503,33.119392921145604,175.32956232650469,RSI_Extreme,5
SHORT,2025-07-30 09:45:00,2025-07-30 10:15:00,3778.0,3789.287,14.439672852779847,-162.98058748932334,54.63457433154693,-217.61516182087027,Stop_Loss,2
SHORT,2025-07-30 11:30:00,2025-07-30 12:30:00,3753.03,3766.2105,12.0350733472104,-158.62828425290593,45.247305466407504,-203.87558971931344,Stop_Loss,4
SHORT,2025-08-06 12:15:00,2025-08-06 12:30:00,3592.65,3602.8155,6.08138399325242,-61.82030898340787,21.87919435785001,-83.69950334125788,Stop_Loss,1
SHORT,2025-08-06 12:30:00,2025-08-06 13:45:00,3595.37,3572.7842857142855,2.9008877114173632,65.51862102501251,10.397005340486139,55.12161568452637,TP1,5
SHORT,2025-08-06 12:30:00,2025-08-06 14:00:00,3595.37,3580.0842857142857,2.9008877114173632,44.34214073166522,10.407593580632811,33.934547151032405,Trailing_Stop,6
LONG,2025-08-08 14:15:00,2025-08-08 15:45:00,3965.58,3937.256714285714,4.095338034096781,-115.99342923630427,16.18239388663536,-132.17582312293962,Stop_Loss,6
LONG,2025-08-08 17:45:00,2025-08-08 19:00:00,4018.42,4056.16,3.4278135292452196,129.36568259371384,13.839077283486432,115.52660531022741,RSI_Extreme,5
SHORT,2025-08-14 10:45:00,2025-08-14 11:30:00,4705.75,4722.243,9.356995167170787,-154.32492129215146,44.10884246856,-198.43376376071146,Stop_Loss,3
SHORT,2025-08-14 21:45:00,2025-08-14 22:00:00,4469.5,4492.8785,5.145111825547011,-120.2849968135498,23.056219802689142,-143.34121661623894,Stop_Loss,1
SHORT,2025-08-15 13:45:00,2025-08-15 14:15:00,4560.01,4520.9575,4.046460031403065,158.0243803763673,18.372886017610107,139.6514943587572,TP1,2
SHORT,2025-08-15 13:45:00,2025-08-15 14:30:00,4560.01,4534.371,4.046460031403065,103.74718874514367,18.40002461342572,85.34716413171796,Trailing_Stop,3
SHORT,2025-08-18 00:30:00,2025-08-18 01:00:00,4446.64,4461.9555,5.9543362549479255,-91.19363691265318,26.522386583157974,-117.71602349581116,Stop_Loss,2
SHORT,2025-08-18 01:30:00,2025-08-18 01:45:00,4410.62,4428.7945,4.939945782866271,-89.78104463070343,21.833114191140982,-111.61415882184441,Stop_Loss,1
SHORT,2025-08-19 00:30:00,2025-08-19 01:00:00,4285.01,4301.719,5.293056120943336,-88.44167472484132,22.72501924616583,-111.16669397100715,Stop_Loss,2
SHORT,2025-08-19 14:30:00,2025-08-19 15:15:00,4209.4,4168.179999999999,3.773639460611604,155.54941856641128,15.806983236215281,139.742435330196,TP1,3
SHORT,2025-08-19 14:30:00,2025-08-19 15:30:00,4209.4,4183.488,3.773639460611604,97.78254570336544,15.835866672646802,81.94667903071864,Trailing_Stop,4
