<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/2/2025,03:30:00,3388.59000000,3396.50000000,3387.57000000,3393.53000000,7496278
1/2/2025,03:45:00,3393.53000000,3394.35000000,3386.72000000,3388.62000000,5597236
1/2/2025,04:00:00,3388.62000000,3394.12000000,3388.00000000,3388.00000000,7526271
1/2/2025,04:15:00,3388.01000000,3394.18000000,3387.57000000,3391.27000000,12255387
1/2/2025,04:30:00,3391.26000000,3394.90000000,3387.40000000,3389.15000000,6126525
1/2/2025,04:45:00,3389.15000000,3423.76000000,3388.76000000,3416.96000000,73755413
1/2/2025,05:00:00,3416.96000000,3427.70000000,3414.00000000,3417.81000000,40668863
1/2/2025,05:15:00,3417.80000000,3419.19000000,3402.44000000,3406.46000000,27864114
1/2/2025,05:30:00,3406.46000000,3417.26000000,3404.31000000,3416.04000000,15889946
1/2/2025,05:45:00,3416.03000000,3418.00000000,3414.08000000,3417.79000000,16228964
1/2/2025,06:00:00,3417.80000000,3417.98000000,3405.00000000,3412.48000000,15254850
1/2/2025,06:15:00,3412.48000000,3415.73000000,3405.00000000,3407.61000000,12543652
1/2/2025,06:30:00,3407.60000000,3409.38000000,3401.92000000,3403.01000000,13707804
1/2/2025,06:45:00,3403.01000000,3410.33000000,3402.01000000,3409.52000000,9806916
1/2/2025,07:00:00,3409.53000000,3412.00000000,3406.30000000,3410.20000000,7205960
1/2/2025,07:15:00,3410.20000000,3415.80000000,3408.60000000,3415.33000000,11506174
1/2/2025,07:30:00,3415.32000000,3420.25000000,3413.71000000,3418.19000000,13427206
1/2/2025,07:45:00,3418.18000000,3421.00000000,3416.00000000,3416.89000000,11987107
1/2/2025,08:00:00,3416.89000000,3421.82000000,3413.43000000,3419.69000000,12645528
1/2/2025,08:15:00,3419.70000000,3433.23000000,3419.70000000,3432.39000000,27241850
1/2/2025,08:30:00,3432.39000000,3433.06000000,3417.00000000,3418.24000000,21599560
1/2/2025,08:45:00,3418.24000000,3424.63000000,3414.18000000,3424.31000000,12788493
1/2/2025,09:00:00,3424.31000000,3442.85000000,3422.42000000,3437.99000000,30955713
1/2/2025,09:15:00,3437.98000000,3441.86000000,3433.95000000,3441.32000000,24419125
1/2/2025,09:30:00,3441.31000000,3445.87000000,3438.77000000,3445.31000000,27179137
1/2/2025,09:45:00,3445.30000000,3446.93000000,3438.08000000,3442.00000000,17531180
1/2/2025,10:00:00,3442.00000000,3471.67000000,3439.00000000,3467.87000000,65594667
1/2/2025,10:15:00,3467.84000000,3473.46000000,3457.19000000,3458.64000000,39636056
1/2/2025,10:30:00,3458.65000000,3476.17000000,3458.64000000,3470.57000000,34317717
1/2/2025,10:45:00,3470.56000000,3474.71000000,3466.30000000,3467.63000000,19301180
1/2/2025,11:00:00,3467.64000000,3471.36000000,3463.24000000,3468.68000000,16222532
1/2/2025,11:15:00,3468.68000000,3471.81000000,3461.08000000,3463.13000000,15069119
1/2/2025,11:30:00,3463.14000000,3465.58000000,3456.44000000,3465.12000000,18498366
1/2/2025,11:45:00,3465.11000000,3472.00000000,3464.76000000,3471.00000000,13503272
