Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Size,Gross_PnL,Commission,Net_PnL,Exit_Reason,Candles_Held,Partial
2025-01-08 06:45:00,2025-01-08 07:45:00,SHORT,3327.59,3341.127,59.097288911872006,-0.24041423372470766,0.059097288911872006,-0.29951152263657965,Stop Loss,4,No
2025-01-10 14:00:00,2025-01-10 14:15:00,SHORT,3243.15,3255.9645,156.07268475529014,-0.6166823670803564,0.15607268475529015,-0.7727550518356465,Stop Loss,1,No
2025-01-16 15:00:00,2025-01-16 15:15:00,SHORT,3276.32,3293.2885,117.86399433534943,-0.6104334093981573,0.11786399433534943,-0.7282974037335067,Stop Loss,1,No
2025-01-16 14:45:00,2025-01-16 15:30:00,SHORT,3289.05,3305.5095,121.50894030613213,-0.6080711460661206,0.12150894030613213,-0.7295800863722527,Stop Loss,3,No
2025-01-20 17:45:00,2025-01-20 18:00:00,SHORT,3229.78,3266.1110000000003,44.03831112140307,-0.4953761189157468,0.04403831112140307,-0.5394144300371498,Stop Loss,1,No
2025-01-28 17:00:00,2025-01-28 17:15:00,SHORT,3149.41,3164.138,108.63300505257494,-0.5080148022691016,0.10863300505257495,-0.6166478073216766,Stop Loss,1,No
2025-01-29 19:15:00,2025-01-29 19:30:00,SHORT,3088.88,3056.4757142857143,52.9009444182446,0.5549640379310146,0.0529009444182446,0.50206309351277,TP1,1,Yes
2025-01-29 19:30:00,2025-01-29 19:45:00,SHORT,3057.8,3073.963,98.98801890612867,-0.5232334847209624,0.09898801890612867,-0.622221503627091,Stop Loss,1,No
2025-02-11 23:00:00,2025-02-11 23:15:00,SHORT,2584.89,2598.634,87.30714869023936,-0.46421683382993556,0.08730714869023937,-0.551523982520175,Stop Loss,1,No
2025-02-12 03:15:00,2025-02-12 03:30:00,SHORT,2579.8,2590.36,75.75393367853448,-0.31008664999043334,0.07575393367853449,-0.38584058366896784,Stop Loss,1,No
2025-02-18 00:30:00,2025-02-18 00:45:00,SHORT,2718.65,2729.562,109.96492163282578,-0.44137245502634526,0.10996492163282579,-0.551337376659171,Stop Loss,1,No
2025-02-21 16:00:00,2025-02-21 16:15:00,SHORT,2722.25,2745.677,85.36659616534462,-0.7346434928333326,0.08536659616534462,-0.8200100889986772,Stop Loss,1,No
2025-02-24 22:15:00,2025-02-24 22:30:00,SHORT,2564.38,2581.434,70.36000918838235,-0.4679180139833717,0.07036000918838235,-0.538278023171754,Stop Loss,1,No
2025-02-24 22:30:00,2025-02-24 23:00:00,SHORT,2580.8,2541.9832142857144,33.12022730967835,0.498148158047202,0.03312022730967835,0.4650279307375237,TP1,2,Yes
2025-02-26 08:15:00,2025-02-26 09:30:00,SHORT,2466.52,2475.29,228.03456824302344,-0.8108035464911338,0.22803456824302346,-1.0388381147341572,Stop Loss,5,No
2025-02-26 13:00:00,2025-02-26 13:15:00,SHORT,2431.95,2429.17,223.03464076098086,0.25495437871480503,0.22303464076098087,0.03191973795382416,RSI Extreme (<15),1,No
2025-02-27 14:00:00,2025-02-27 14:45:00,SHORT,2335.58,2346.6414999999997,180.7927057299392,-0.8562492033806102,0.1807927057299392,-1.0370419091105494,Stop Loss,3,No
2025-02-27 14:45:00,2025-02-27 15:15:00,SHORT,2328.0,2301.7478571428574,81.61847872281498,0.9203865821365964,0.08161847872281498,0.8387681034137814,TP1,2,Yes
2025-02-27 15:00:00,2025-02-27 15:15:00,SHORT,2307.5,2320.4315,154.64674115894132,-0.8666584326313637,0.15464674115894134,-1.021305173790305,Stop Loss,1,No
