Trade#,Regime,SignalType,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Hours,ExitReason,SessionMultiplier
189,TRENDING,TrendFollow,SHORT,2025-11-17 16:30:00,3090.72,2025-11-18 12:30:00,3045.65,10.9431,295.92,0.80,26.91,269.01,20.00,StaleTimeout,1.00
190,TRENDING,TrendFollow,SHORT,2025-11-19 15:30:00,3033.32,2025-11-19 18:45:00,2882.37,16.7172,1059.85,2.02,35.47,1024.38,3.25,RSI_Extreme,1.00
191,TRENDING,TrendFollow,SHORT,2025-11-19 15:45:00,3001.88,2025-11-19 20:30:00,2917.99,15.5758,548.79,1.10,32.92,515.87,4.75,TrailingStop,1.00
192,TRENDING,TrendFollow,SHORT,2025-11-20 16:15:00,2897.50,2025-11-20 22:30:00,2900.26,13.2089,-21.87,-0.14,30.63,-52.50,6.25,StopLoss,1.00
193,TRENDING,TrendFollow,SHORT,2025-11-20 16:30:00,2888.82,2025-11-21 11:15:00,2719.87,12.7112,901.97,2.39,25.62,876.35,18.75,TrailingStop,1.00
194,TRENDING,TrendFollow,LONG,2025-11-24 16:00:00,2845.16,2025-11-24 18:15:00,2945.63,21.6205,705.97,1.08,41.11,664.86,2.25,RSI_Extreme,1.00
195,TRENDING,TrendFollow,LONG,2025-11-26 01:45:00,2975.71,2025-11-26 04:15:00,2922.00,16.2228,-871.33,-1.90,47.84,-919.17,2.50,StopLoss,0.60
196,TRENDING,TrendFollow,LONG,2025-11-26 17:45:00,3013.29,2025-11-26 18:30:00,3037.22,16.4016,392.49,0.69,49.62,342.87,0.75,RSI_Extreme,0.80
197,TRENDING,TrendFollow,LONG,2025-11-28 14:00:00,3072.56,2025-11-28 16:30:00,3027.86,34.5520,-1544.47,-1.55,105.39,-1649.86,2.50,StopLoss,1.00
198,TRENDING,TrendFollow,LONG,2025-11-28 14:30:00,3090.98,2025-11-28 16:30:00,3027.86,31.3587,-1979.36,-2.14,95.94,-2075.30,2.00,StopLoss,1.00
199,TRENDING,TrendFollow,SHORT,2025-12-01 13:45:00,2808.99,2025-12-01 16:15:00,2725.26,37.8914,1332.51,1.18,74.90,1257.61,2.50,TP3,1.00
200,TRENDING,TrendFollow,SHORT,2025-12-01 14:45:00,2811.12,2025-12-01 18:15:00,2753.51,29.9899,725.64,0.79,59.49,666.15,3.50,TrailingStop,1.00
201,TRENDING,TrendFollow,LONG,2025-12-03 05:15:00,3055.00,2025-12-03 06:30:00,3082.13,19.4961,528.93,0.79,59.83,469.10,1.25,RSI_Extreme,0.60
202,TRENDING,TrendFollow,LONG,2025-12-03 04:30:00,3044.24,2025-12-03 15:00:00,3074.79,20.3574,202.12,0.26,41.16,160.97,10.50,TrailingStop,0.60
203,TRENDING,TrendFollow,LONG,2025-12-03 14:45:00,3130.27,2025-12-03 15:15:00,3065.81,22.4157,-1444.92,-2.16,69.44,-1514.36,0.50,StopLoss,1.00
204,TRENDING,TrendFollow,LONG,2025-12-03 22:15:00,3165.60,2025-12-03 23:00:00,3188.42,15.3973,351.37,0.62,48.92,302.45,0.75,RSI_Extreme,0.60
205,TRENDING,TrendFollow,LONG,2025-12-08 01:30:00,3103.14,2025-12-08 15:45:00,3090.97,11.4893,-69.91,-0.27,26.70,-96.62,14.25,StopLoss,0.60
206,TRENDING,TrendFollow,LONG,2025-12-08 01:45:00,3115.51,2025-12-08 15:45:00,3090.97,12.6583,-310.64,-0.89,39.28,-349.92,14.00,StopLoss,0.60
207,TRENDING,TrendFollow,LONG,2025-12-10 20:15:00,3440.74,2025-12-10 22:15:00,3334.22,10.6013,-1129.25,-3.19,35.91,-1165.16,2.00,StopLoss,0.80
208,TRENDING,TrendFollow,SHORT,2025-12-16 04:45:00,2910.00,2025-12-16 11:30:00,2957.00,18.5386,-871.31,-1.72,54.38,-925.70,6.75,StopLoss,0.60
209,TRENDING,TrendFollow,SHORT,2025-12-16 04:30:00,2919.74,2025-12-16 17:15:00,2949.83,18.2173,-548.16,-1.13,53.46,-601.62,12.75,StopLoss,0.60
210,TRENDING,TrendFollow,SHORT,2025-12-16 14:00:00,2909.08,2025-12-16 17:15:00,2949.83,25.0451,-1020.59,-1.50,73.37,-1093.96,3.25,StopLoss,1.00
211,TRENDING,TrendFollow,SHORT,2025-12-17 16:30:00,2847.04,2025-12-17 18:45:00,2824.43,12.8632,290.84,0.69,36.48,254.36,2.25,RSI_Extreme,1.00
212,TRENDING,TrendFollow,SHORT,2025-12-17 16:45:00,2845.51,2025-12-17 18:45:00,2824.43,12.5311,264.16,0.64,35.53,228.63,2.00,RSI_Extreme,1.00
213,TRENDING,TrendFollow,SHORT,2025-12-25 10:15:00,2918.17,2025-12-25 15:15:00,2935.39,80.4557,-1385.45,-0.69,235.48,-1620.92,5.00,StopLoss,1.00
214,TRENDING,TrendFollow,SHORT,2025-12-25 10:30:00,2919.92,2025-12-25 15:30:00,2948.79,75.0758,-2167.44,-1.09,220.30,-2387.74,5.00,StopLoss,1.00
215,TRENDING,TrendFollow,LONG,2025-12-31 11:45:00,2998.63,2025-12-31 14:45:00,2997.03,45.6381,-36.51,-0.10,102.62,-139.13,3.00,StopLoss,0.60
216,TRENDING,TrendFollow,LONG,2025-12-31 14:15:00,3014.11,2025-12-31 15:15:00,2978.51,48.7345,-1734.95,-1.28,146.02,-1880.97,1.00,StopLoss,1.00
