Trade#,Regime,SignalType,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Hours,ExitReason,SessionMultiplier
101,TRENDING,TrendFollow,LONG,2025-07-10 21:30:00,2905.18,2025-07-10 22:00:00,2971.70,13.9286,463.26,1.07,30.58,432.68,0.50,RSI_Extreme,0.60
102,TRENDING,TrendFollow,LONG,2025-07-14 03:00:00,2999.55,2025-07-14 04:45:00,3050.26,21.0839,534.58,0.77,47.70,486.88,1.75,RSI_Extreme,0.60
103,TRENDING,TrendFollow,LONG,2025-07-14 03:30:00,3015.61,2025-07-14 04:45:00,3050.26,20.4559,354.40,0.50,46.44,307.96,1.25,RSI_Extreme,0.60
104,TRENDING,TrendFollow,LONG,2025-07-14 11:15:00,3073.34,2025-07-14 15:15:00,3017.90,15.5595,-862.62,-1.90,47.39,-910.01,4.00,StopLoss,0.60
105,TRENDING,TrendFollow,LONG,2025-07-15 16:00:00,3039.00,2025-07-15 23:30:00,3129.33,16.0224,723.65,1.41,36.88,686.77,7.50,RSI_Extreme,1.00
106,TRENDING,TrendFollow,LONG,2025-07-18 01:45:00,3604.01,2025-07-18 19:30:00,3575.12,9.2727,-267.89,-0.90,33.29,-301.17,17.75,StopLoss,0.60
107,RANGING,MeanReversion,SHORT,2025-07-22 23:45:00,3743.80,2025-07-23 02:00:00,3738.01,17.6275,25.52,-0.02,41.23,-15.72,2.25,TrailingStop,0.60
108,TRENDING,TrendFollow,SHORT,2025-07-23 09:30:00,3655.01,2025-07-23 14:30:00,3619.02,29.3395,443.49,0.34,75.92,367.57,5.00,TrailingStop,1.00
109,TRENDING,TrendFollow,SHORT,2025-07-23 09:45:00,3659.87,2025-07-23 14:30:00,3619.02,28.5690,490.16,0.40,73.99,416.17,4.75,TrailingStop,1.00
110,TRENDING,TrendFollow,SHORT,2025-07-23 17:30:00,3567.28,2025-07-23 21:45:00,3580.00,14.6965,-186.94,-0.46,52.52,-239.46,4.25,StopLoss,0.80
111,TRENDING,TrendFollow,SHORT,2025-07-24 05:30:00,3578.30,2025-07-24 08:00:00,3589.94,16.5382,-115.50,-0.28,47.40,-162.90,2.50,StopLoss,0.60
112,TRENDING,TrendFollow,SHORT,2025-07-24 06:00:00,3555.02,2025-07-24 08:15:00,3635.75,19.6367,-1585.27,-2.37,70.60,-1655.88,2.25,StopLoss,0.80
113,TRENDING,TrendFollow,SHORT,2025-07-30 11:30:00,3753.03,2025-07-30 15:00:00,3817.75,15.6894,-1015.42,-1.83,59.39,-1074.81,3.50,StopLoss,0.60
114,TRENDING,TrendFollow,SHORT,2025-07-30 11:00:00,3771.82,2025-07-30 20:15:00,3780.75,16.1827,-86.71,-0.22,48.87,-135.58,9.25,StopLoss,0.60
115,TRENDING,TrendFollow,SHORT,2025-07-30 19:00:00,3736.40,2025-07-30 23:45:00,3803.88,16.3615,-1104.08,-1.91,61.69,-1165.76,4.75,StopLoss,0.80
116,TRENDING,TrendFollow,SHORT,2025-08-01 08:15:00,3612.01,2025-08-01 16:15:00,3627.75,20.9609,-329.92,-0.54,75.88,-405.80,8.00,StopLoss,1.00
117,TRENDING,TrendFollow,LONG,2025-08-07 20:00:00,3865.48,2025-08-08 04:15:00,3921.55,20.7134,377.46,0.40,53.23,324.22,8.25,TrailingStop,0.80
118,TRENDING,TrendFollow,LONG,2025-08-07 21:00:00,3872.39,2025-08-08 04:15:00,3921.55,18.2440,291.48,0.35,46.95,244.53,7.25,TrailingStop,0.60
119,TRENDING,TrendFollow,LONG,2025-08-08 17:45:00,4018.42,2025-08-08 19:15:00,4048.23,15.3266,456.89,0.64,61.82,395.07,1.50,RSI_Extreme,0.80
120,TRENDING,TrendFollow,LONG,2025-08-11 04:15:00,4337.01,2025-08-11 10:15:00,4255.16,11.4121,-934.08,-1.99,49.03,-983.10,6.00,StopLoss,0.60
121,TRENDING,TrendFollow,LONG,2025-08-12 02:45:00,4301.77,2025-08-12 09:45:00,4290.68,14.0230,-155.51,-0.36,60.25,-215.76,7.00,StopLoss,0.60
122,TRENDING,TrendFollow,SHORT,2025-08-18 07:00:00,4251.57,2025-08-18 13:00:00,4341.62,13.1060,-1180.20,-2.22,56.31,-1236.51,6.00,StopLoss,0.80
